ID	Value
HAD1	The\DT problems\NNS of\IN Greater\NNP Noida\NNP west\NN are\VBP not\RB abating\VBG .\.
HAD2	There\EX is\VBZ rush\NN among\IN the\DT farmer\NN organizations\NNS for\IN their\PRP$ demand\NN to\TO stop\VB the\DT construction\NN work\NN .\.
HAD3	The\DT farmer\NN struggle\NN committee\NN after\IN calling\VBG a\DT Panchayat\NN meet\VB in\IN Maycha\NNP village\NN on\IN Sunday\NNP has\VBZ decided\VBN to\TO stop\VB the\DT construction\NN work\NN from\IN 25th\JJ October\NNP on\IN wards\NNS .\.
HAD4	In\IN the\DT name\NN of\IN giving\VBG compensation\NN ,\, the\DT authority\NN and\CC ADM\NNP LA\NNP office\NN is\VBZ playing\VBG with\IN the\DT farmers\NNS by\IN sending\VBG two\CD million\CD bucks\NNS to\TO the\DT villages\NNS .\.
HAD5	The\DT farmers\NNS have\VBP told\VBN the\DT Panchayat\NNP that\IN the\DT authority\NN is\VBZ not\RB serious\JJ about\IN the\DT problems\NNS of\IN the\DT farmers\NNS .\.
HAD6	At\IN the\DT talk\NN of\IN 25th\JJ September\NNP the\DT authorities\NNS assured\VBD the\DT farmers\NNS to\TO distribute\VB compensation\NN to\TO all\PDT the\DT villages\NNS till\IN fifteenth\JJ October\NNP .\.
HAD7	The\DT farmers\NNS in\IN the\DT Panchayat\NNP on\IN 25th\JJ October\NNP after\IN creating\VBG three\CD to\TO four\CD teams\NNS have\VBP decided\VBN to\TO stop\VB the\DT construction\NN work\NN in\IN greater\JJR noida\NN west\NN .\.
HAD8	The\DT White\NNP Grub\NNP which\WDT badly\RB damages\VBZ sugar\NN cane\NN ,\, peanuts\NNS and\CC potatoes\NNS etc\FW and\CC which\WDT is\VBZ also\RB known\VBN as\IN white\JJ braided\JJ and\CC white\JJ Gilar\NNP ,\, is\VBZ no\DT more\RBR incurable\JJ now\RB .\.
HAD9	The\DT scientists\NNS of\IN the\DT National\NNP Bureau\NNP of\IN Agricultural\NNP and\CC useful\JJ insects\NNS of\IN the\DT Indian\NNP Council\NNP of\IN Agricultural\NNP Research\NNP (\( ICAR\NNP )\) ,\, have\VBP developed\VBN a\DT technique\NN by\IN which\WDT this\DT disease\NN would\MD be\VB hundred\CD percent\NN curable\JJ .\.
HAD10	With\IN this\DT technique\NN the\DT white\JJ insects\NNS are\VBP killed\VBN with\IN the\DT help\NN of\IN the\DT friend\NN pests\NNS .\.
HAD11	The\DT scientists\NNS have\VBP also\RB developed\VBN this\DT technology\NN in\IN powder\NN form\NN for\IN the\DT convenience\NN of\IN farmers\NNS .\.
HAD12	Under\IN this\DT ,\, at\IN the\DT time\NN of\IN sowing\NN the\DT dry\JJ soil\NN of\IN the\DT field\NN ,\, dry\JJ manure\NN and\CC dry\JJ dung\NN should\MD be\VB mixed\VBN and\CC put\VBN into\IN the\DT ground\NN .\.
HAD13	As\RB soon\RB as\IN the\DT powder\NN comes\VBZ in\IN contact\NN with\IN the\DT soil\NN it\PRP gives\VBZ birth\NN to\TO the\DT friend\NN pests\NNS and\CC they\PRP themselves\PRP search\VBP and\CC destroy\VBP the\DT white\JJ Grub\NNP .\.
HAD14	The\DT important\JJ thing\NN is\VBZ that\IN the\DT friend\NN pests\NNS do\VBP not\RB eat\VB the\DT caterpillars\NNS .\.
HAD15	It\PRP does\VBZ not\RB affect\VB the\DT fertility\NN of\IN the\DT soil\NN .\.
