ID	Value
HAD1	గ్రేటర్\N-NNP నోయిడా\N-NNP పశ్చిమంలోని\N_NN మురుగునీటిని\N_NN తగ్గించే\V_VM_VNF ప్రస్తావన\N_NN చేయడం\V_VM_VNG లేదు\V_VM_VF .\RD_PUNC
HAD10	దీని\PR_PRP అధీనంలో\N_NN మిత్రకీటకాల\N_NN ద్వారా\PSP తెల్లపురుగుల\N_NN అంతం\N_NN చేయబడుతుంది\V_VM_VF .\RD_PUNC
HAD100	ప్రభుత్వ\N_NN లెక్కల\N_NN మీద\PSP దృష్టి\N_NN పెడితే\V_VM_VNF ,\RD_PUNC 1995\QT_QTC మొదలుకొని\V_VM_VNF 2011\QT_QTC వరకు\PSP మన\PR_PRP దేశంలో\N_NN సుమారు\QT_QTF రెండు\QT_QTC లక్షల\QT_QTC డెబ్భైఒక్క\QT_QTC వేల\QT_QTC రైతులు\N_NN ఆత్మహత్యలు\N_NN చేసుకొన్నారు\V_VM_VF .\RD_PUNC
HAD1000	వ్యవసాయ\N_NN వ్యయం\N_NN మరియు\CC_CCD ధరల\N_NN సంఘాన్ని\N_NN పన్నుల\N_NN స్థాయిని\N_NN నిర్ణయించే\V_VM_VNF దిశగా\RB పెద్ద\JJ పాత్రను\N_NN నిర్వహించాలి\V_VM_VF .\RD_PUNC
HAD101	సీ.రంగరాజన్\N-NNP ప్రధాన\JJ మంత్రి\N_NN ఆర్థిక\N_NN సలహా\N_NN మండలిలో\N_NN ప్రముఖుడు\N_NN మరియు\CC_CCD ఆర్థిక\N_NN సంస్కరణలకు\N_NN బలమైన\JJ ప్రోత్సాహకుడుకూడా\N_NN .\RD_PUNC
HAD102	ఆయన\PR_PRP అధ్యక్షతలో\N_NN ఆరుగురు\QT_QTC సభ్యుల\N_NN సమితి\N_NN గడచిన\V_VM_VNF రోజులలో\N_NN చక్కెర\N_NN పరిశ్రమను\N_NN పూర్తిగా\RB నియంత్రణ\N_NN నుంచి\PSP విముక్తిని\N_NN ఇవ్వడానికి\V_VM_VNG సంబంధించిన\V_VM_VNF సిఫారసులను\N_NN ప్రధానమంత్రికి\N_NN చేసింది\V_VM_VF .\RD_PUNC
HAD103	ఒకవేళ\CC_CCS ఈ\DM_DMD సిఫారసులను\N_NN పరిగణించినట్లయితే\V_VM_VNF దేశంలోని\N_NN రైతులకు\N_NN పెద్ద\JJ దెబ్బ\N_NN తగులుతుంది\V_VM_VF .\RD_PUNC
HAD104	ఒకవేళ\CC_CCS అలా\RB జరిగితే\V_VM_VNF చెరకు\N_NN ధరలు\N_NN ఒక్క\QT_QTC ఊపుతో\N_NN కిందికి\N_NST వస్తాయి\V_VM_VF .\RD_PUNC
HAD105	రంగరాజన్\N-NNP కమిటీ\N_NN నివేదిక\N_NN దేశంలో\N_NN అనేక\QT_QTF రైతు\N_NN ఆందోళనలకు\N_NN మరియు\CC_CCD అనేక\QT_QTF కాల్పులకు\N_NN అవకాశం\N_NN ఇవ్వవచ్చు\V_VM_VF .\RD_PUNC
HAD106	దేశంలోని\N_NN ఇప్పటి\N_NST వ్యవసాయ\N_NN స్థితి\N_NN మీద\PSP దృష్టిపెడితే\V_VM_VNF బి\N-NNP .టి\N-NNP పత్తి\N_NN దేశంలో\N_NN ఇప్పుడు\N_NST బజారులో\N_NN దొరుకుతున్న\V_VM_VNF ఒక\QT_QTC జిఎమ్\N_NN పంట\N_NN .\RD_PUNC
